country,age_group,sex,concert_months,no_concert_months,concert_avg_yoy,no_concert_avg_yoy,uplift_pct_point,t_statistic,binary_p_value,correlation,intensity_p_value,observations,intensity_result,binary_result,is_top10
Finland,Age 15 - 19,Male,125,37,47.38,27.03,20.35,1.204,0.2307,-0.016,0.8355,162,Not Significant,Not Significant,0
Finland,Age 20 - 24,Female,125,38,12.08,22.73,-10.65,-1.282,0.2057,-0.078,0.3197,163,Not Significant,Not Significant,0
Finland,Age 20 - 24,Male,125,38,14.6,14.82,-0.22,-0.033,0.9741,0.002,0.9832,163,Not Significant,Not Significant,0
Finland,Age 25 - 34,Female,125,38,13.92,17.28,-3.36,-0.409,0.6838,-0.028,0.7242,163,Not Significant,Not Significant,0
Finland,Age 25 - 34,Male,125,38,10.53,7.08,3.45,0.562,0.5762,0.053,0.5021,163,Not Significant,Not Significant,0
Finland,Age 35 - 44,Female,125,38,19.47,13.28,6.19,0.785,0.4347,0.015,0.847,163,Not Significant,Not Significant,0
Finland,Age 35 - 44,Male,125,38,11.07,4.5,6.57,1.326,0.1887,0.08,0.3078,163,Not Significant,Not Significant,0
Finland,Age 45 - 54,Female,125,38,19.39,19.83,-0.44,-0.055,0.9565,-0.003,0.9659,163,Not Significant,Not Significant,0
Finland,Age 45 - 54,Male,125,38,15.18,8.67,6.51,0.978,0.3311,0.022,0.7776,163,Not Significant,Not Significant,0
Finland,Age 55 - 64,Female,125,38,16.83,25.08,-8.25,-0.738,0.4642,-0.096,0.2244,163,Not Significant,Not Significant,0
Finland,Age 55 - 64,Male,125,38,13.36,7.0,6.36,1.01,0.3163,-0.002,0.9818,163,Not Significant,Not Significant,0
Finland,Age 65 & Above,Female,125,38,24.92,49.04,-24.12,-1.351,0.1833,-0.166,0.0343,163,Significant Negative,Not Significant,0
Finland,Age 65 & Above,Male,125,38,21.68,51.68,-29.99,-1.169,0.2492,-0.12,0.1269,163,Not Significant,Not Significant,0
France,Age 14 & Below,Female,125,38,11.17,5.43,5.74,1.176,0.2444,0.099,0.2085,163,Not Significant,Not Significant,0
France,Age 14 & Below,Male,125,38,10.59,6.61,3.99,0.987,0.3265,0.096,0.2247,163,Not Significant,Not Significant,0
France,Age 15 - 19,Female,125,38,18.09,15.58,2.51,0.281,0.7794,0.108,0.1685,163,Not Significant,Not Significant,0
France,Age 15 - 19,Male,125,38,17.92,14.9,3.02,0.481,0.6314,0.1,0.2027,163,Not Significant,Not Significant,0
France,Age 20 - 24,Female,125,38,11.66,9.14,2.52,0.915,0.3639,0.085,0.2786,163,Not Significant,Not Significant,0
France,Age 20 - 24,Male,125,38,10.2,9.35,0.85,0.337,0.7369,0.073,0.3541,163,Not Significant,Not Significant,0
France,Age 25 - 34,Female,125,38,7.64,3.48,4.17,2.18,0.0325,0.117,0.1363,163,Not Significant,Significant Positive,0
France,Age 25 - 34,Male,125,38,6.28,1.8,4.48,2.353,0.0218,0.192,0.014,163,Significant Positive,Significant Positive,0
France,Age 35 - 44,Female,125,38,7.84,4.13,3.71,1.564,0.1225,0.158,0.0442,163,Significant Positive,Not Significant,0
France,Age 35 - 44,Male,125,38,3.76,-0.03,3.8,2.076,0.0418,0.159,0.0431,163,Significant Positive,Significant Positive,0
France,Age 45 - 54,Female,125,38,9.26,6.98,2.28,0.761,0.4498,0.118,0.1345,163,Not Significant,Not Significant,0
France,Age 45 - 54,Male,125,38,5.81,1.95,3.86,1.825,0.0726,0.164,0.036,163,Significant Positive,Not Significant,0
France,Age 55 - 64,Female,125,38,8.15,5.39,2.76,0.944,0.3493,0.013,0.8713,163,Not Significant,Not Significant,0
France,Age 55 - 64,Male,125,38,6.2,3.36,2.83,1.298,0.1991,0.07,0.3748,163,Not Significant,Not Significant,0
France,Age 65 & Above,Female,125,38,12.53,17.45,-4.92,-0.98,0.3313,-0.147,0.0607,163,Not Significant,Not Significant,0
France,Age 65 & Above,Male,125,38,10.25,11.97,-1.72,-0.438,0.6632,-0.145,0.0657,163,Not Significant,Not Significant,0
Germany,Age 14 & Below,Female,125,38,18.0,13.85,4.15,0.757,0.4506,0.011,0.894,163,Not Significant,Not Significant,0
Germany,Age 14 & Below,Male,125,38,17.33,13.0,4.33,0.83,0.4085,0.033,0.6716,163,Not Significant,Not Significant,0
Germany,Age 15 - 19,Female,125,38,22.06,21.36,0.7,0.104,0.9172,0.02,0.8009,163,Not Significant,Not Significant,0
Germany,Age 15 - 19,Male,125,38,23.01,22.8,0.2,0.027,0.9781,-0.043,0.5892,163,Not Significant,Not Significant,0
Germany,Age 20 - 24,Female,125,38,8.86,9.75,-0.89,-0.376,0.7082,-0.035,0.6614,163,Not Significant,Not Significant,0
Germany,Age 20 - 24,Male,125,38,8.68,9.52,-0.84,-0.407,0.6851,-0.047,0.5479,163,Not Significant,Not Significant,0
Germany,Age 25 - 34,Female,125,38,6.52,7.8,-1.27,-0.616,0.5398,-0.153,0.0511,163,Not Significant,Not Significant,0
Germany,Age 25 - 34,Male,125,38,5.23,7.29,-2.05,-1.072,0.2879,-0.144,0.0657,163,Not Significant,Not Significant,0
Germany,Age 35 - 44,Female,125,38,8.06,2.08,5.98,2.517,0.0136,0.074,0.3458,163,Not Significant,Significant Positive,0
Germany,Age 35 - 44,Male,125,38,3.06,-1.6,4.66,2.692,0.0089,0.149,0.0569,163,Not Significant,Significant Positive,0
Germany,Age 45 - 54,Female,125,38,10.83,8.97,1.86,0.571,0.5689,-0.071,0.3653,163,Not Significant,Not Significant,0
Germany,Age 45 - 54,Male,125,38,5.58,5.13,0.45,0.203,0.84,-0.057,0.4737,163,Not Significant,Not Significant,0
Germany,Age 55 - 64,Female,125,38,13.63,6.87,6.76,1.872,0.0643,0.02,0.8045,163,Not Significant,Not Significant,0
Germany,Age 55 - 64,Male,125,38,11.25,4.07,7.18,2.655,0.0094,0.067,0.395,163,Not Significant,Significant Positive,0
Germany,Age 65 & Above,Female,125,38,12.99,9.98,3.01,0.697,0.4878,0.007,0.933,163,Not Significant,Not Significant,0
Germany,Age 65 & Above,Male,125,38,10.7,6.12,4.58,1.304,0.1961,0.04,0.6137,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 14 & Below,Female,125,38,22.56,37.81,-15.25,-1.161,0.2495,-0.083,0.294,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 14 & Below,Male,125,38,22.27,38.46,-16.19,-1.27,0.2078,-0.091,0.2469,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 15 - 19,Female,125,38,26.39,23.17,3.22,0.256,0.7981,-0.02,0.7954,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 15 - 19,Male,125,38,22.48,19.49,2.99,0.312,0.756,-0.014,0.8609,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 20 - 24,Female,125,38,6.31,14.33,-8.02,-1.36,0.179,-0.047,0.5522,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 20 - 24,Male,125,38,5.57,10.47,-4.91,-0.922,0.3607,-0.067,0.3966,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 25 - 34,Female,125,38,3.66,10.87,-7.2,-1.515,0.1357,-0.004,0.9589,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 25 - 34,Male,125,38,2.47,4.69,-2.22,-0.6,0.5512,0.091,0.2492,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 35 - 44,Female,125,38,5.09,14.36,-9.27,-1.904,0.0616,-0.084,0.2857,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 35 - 44,Male,125,38,2.37,5.48,-3.11,-0.938,0.3522,0.008,0.9228,163,Not Significant,Not Significant,0
Hong Kong SAR,Age 45 - 54,Female,125,38,4.86,17.8,-12.94,-2.922,0.0051,-0.139,0.0773,163,Not Significant,Significant Negative,0
Hong Kong SAR,Age 45 - 54,Male,125,38,2.82,9.26,-6.44,-2.111,0.0396,-0.068,0.3905,163,Not Significant,Significant Negative,0
Hong Kong SAR,Age 55 - 64,Female,125,38,6.38,20.7,-14.32,-3.204,0.0024,-0.223,0.0042,163,Significant Negative,Significant Negative,0
Hong Kong SAR,Age 55 - 64,Male,125,38,5.39,12.76,-7.37,-2.473,0.0168,-0.166,0.0346,163,Significant Negative,Significant Negative,0
Hong Kong SAR,Age 65 & Above,Female,125,38,9.39,23.57,-14.19,-2.46,0.0172,-0.173,0.027,163,Significant Negative,Significant Negative,0
Hong Kong SAR,Age 65 & Above,Male,125,38,8.09,19.45,-11.35,-2.353,0.0227,-0.154,0.0502,163,Not Significant,Significant Negative,0
India,Age 14 & Below,Female,125,38,12.16,10.0,2.16,0.29,0.773,0.057,0.471,163,Not Significant,Not Significant,1
India,Age 14 & Below,Male,125,38,11.94,9.85,2.09,0.253,0.8014,0.035,0.6574,163,Not Significant,Not Significant,1
India,Age 15 - 19,Female,125,38,13.42,6.72,6.7,0.866,0.3907,0.127,0.1059,163,Not Significant,Not Significant,1
India,Age 15 - 19,Male,125,38,11.07,-1.69,12.76,2.458,0.0169,0.21,0.0071,163,Significant Positive,Significant Positive,1
India,Age 20 - 24,Female,125,38,7.62,-1.51,9.13,4.447,0.0,0.281,0.0003,163,Significant Positive,Significant Positive,1
